Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Profit,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit Ratio,Quantity,Sales
Furniture,Henderson,United States,Claire Gute,Bush,08-11-2017,CA-2017-152156,42420,Bush Somerset Collection Bookcase,$42.00,South,Consumer,11-11-2017,Second Class,Kentucky,Bookcases,0,1,0.16,2,262
Furniture,Henderson,United States,Claire Gute,Hon,08-11-2017,CA-2017-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$220.00,South,Consumer,11-11-2017,Second Class,Kentucky,Chairs,0,1,0.3,3,732
Office Supplies,Los Angeles,United States,Darrin Van Huff,Universal,12-06-2017,CA-2017-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,$7.00,West,Corporate,16-06-2017,Second Class,California,Labels,0,1,0.47,2,15
Furniture,Fort Lauderdale,United States,Sean O'Donnell,Bretford,11-10-2016,US-2016-108966,33311,Bretford CR4500 Series Slim Rectangular Table,-$383.00,South,Consumer,18-10-2016,Standard Class,Florida,Tables,0.45,1,-0.4,5,958
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,Eldon,11-10-2016,US-2016-108966,33311,Eldon Fold 'N Roll Cart System,$3.00,South,Consumer,18-10-2016,Standard Class,Florida,Storage,0.2,1,0.11,2,22
Furniture,Los Angeles,United States,Brosina Hoffman,Eldon,09-06-2015,CA-2015-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$14.00,West,Consumer,14-06-2015,Standard Class,California,Furnishings,0,1,0.29,7,49
Office Supplies,Los Angeles,United States,Brosina Hoffman,Newell,09-06-2015,CA-2015-115812,90032,Newell 322,$2.00,West,Consumer,14-06-2015,Standard Class,California,Art,0,1,0.27,4,7
Technology,Los Angeles,United States,Brosina Hoffman,Mitel,09-06-2015,CA-2015-115812,90032,Mitel 5320 IP Phone VoIP phone,$91.00,West,Consumer,14-06-2015,Standard Class,California,Phones,0.2,1,0.1,6,907
Office Supplies,Los Angeles,United States,Brosina Hoffman,DXL,09-06-2015,CA-2015-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,$6.00,West,Consumer,14-06-2015,Standard Class,California,Binders,0.2,1,0.31,3,19
Office Supplies,Los Angeles,United States,Brosina Hoffman,Belkin,09-06-2015,CA-2015-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,$34.00,West,Consumer,14-06-2015,Standard Class,California,Appliances,0,1,0.3,5,115
Furniture,Los Angeles,United States,Brosina Hoffman,Chromcraft,09-06-2015,CA-2015-115812,90032,Chromcraft Rectangular Conference Tables,$85.00,West,Consumer,14-06-2015,Standard Class,California,Tables,0.2,1,0.05,9,1706
Technology,Los Angeles,United States,Brosina Hoffman,Other,09-06-2015,CA-2015-115812,90032,Konftel 250 Conference phone - Charcoal black,$68.00,West,Consumer,14-06-2015,Standard Class,California,Phones,0.2,1,0.08,4,911
Office Supplies,Concord,United States,Andrew Allen,Xerox,15-04-2018,CA-2018-114412,28027,Xerox 1967,$5.00,South,Consumer,20-04-2018,Standard Class,North Carolina,Paper,0.2,1,0.35,3,16
Office Supplies,Seattle,United States,Irene Maddox,Fellowes,05-12-2017,CA-2017-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,$133.00,West,Consumer,10-12-2017,Standard Class,Washington,Binders,0.2,1,0.33,3,408
Office Supplies,Fort Worth,United States,Harold Pawlan,Holmes,22-11-2016,US-2016-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-$124.00,Central,Home Office,26-11-2016,Standard Class,Texas,Appliances,0.8,1,-1.8,5,69
Office Supplies,Fort Worth,United States,Harold Pawlan,Storex,22-11-2016,US-2016-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,-$4.00,Central,Home Office,26-11-2016,Standard Class,Texas,Binders,0.8,1,-1.5,3,3
Office Supplies,Madison,United States,Pete Kriz,Other,11-11-2015,CA-2015-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$13.00,Central,Consumer,18-11-2015,Standard Class,Wisconsin,Storage,0,1,0.02,6,666
Office Supplies,West Jordan,United States,Alejandro Grove,Fellowes,13-05-2015,CA-2015-167164,84084,Fellowes Super Stor/Drawer,$10.00,West,Consumer,15-05-2015,Second Class,Utah,Storage,0,1,0.18,2,56
Office Supplies,San Francisco,United States,Zuschuss Donatelli,Newell,27-08-2015,CA-2015-143336,94109,Newell 341,$2.00,West,Consumer,01-09-2015,Second Class,California,Art,0,1,0.29,2,9
Technology,San Francisco,United States,Zuschuss Donatelli,Cisco,27-08-2015,CA-2015-143336,94109,Cisco SPA 501G IP Phone,$16.00,West,Consumer,01-09-2015,Second Class,California,Phones,0.2,1,0.07,3,213
Office Supplies,San Francisco,United States,Zuschuss Donatelli,Wilson Jones,27-08-2015,CA-2015-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",$7.00,West,Consumer,01-09-2015,Second Class,California,Binders,0.2,1,0.33,4,23
Office Supplies,Fremont,United States,Ken Black,Newell,09-12-2017,CA-2017-137330,68025,Newell 318,$5.00,Central,Corporate,13-12-2017,Standard Class,Nebraska,Art,0,1,0.26,7,19
Office Supplies,Fremont,United States,Ken Black,Acco,09-12-2017,CA-2017-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",$16.00,Central,Corporate,13-12-2017,Standard Class,Nebraska,Appliances,0,1,0.26,7,60
Furniture,Philadelphia,United States,Sandra Flanagan,Global,16-07-2018,US-2018-156909,19140,"Global Deluxe Stacking Chair, Gray",-$1.00,East,Consumer,18-07-2018,Second Class,Pennsylvania,Chairs,0.3,1,-0.01,2,71
Furniture,Orem,United States,Emily Burns,Bretford,25-09-2016,CA-2016-106320,84057,Bretford CR4500 Series Slim Rectangular Table,$240.00,West,Consumer,30-09-2016,Standard Class,Utah,Tables,0,1,0.23,3,1045
Office Supplies,Los Angeles,United States,Eric Hoffmann,Wilson Jones,16-01-2017,CA-2017-121755,90049,Wilson Jones Active Use Binders,$4.00,West,Consumer,20-01-2017,Second Class,California,Binders,0.2,1,0.36,2,12
Technology,Los Angeles,United States,Eric Hoffmann,Other,16-01-2017,CA-2017-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$12.00,West,Consumer,20-01-2017,Second Class,California,Accessories,0,1,0.13,3,91
Furniture,Philadelphia,United States,Tracy Blumstein,Riverside,17-09-2016,US-2016-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","-$1,665.00",East,Consumer,21-09-2016,Standard Class,Pennsylvania,Bookcases,0.5,1,-0.54,7,3083
Office Supplies,Philadelphia,United States,Tracy Blumstein,Avery,17-09-2016,US-2016-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,-$7.00,East,Consumer,21-09-2016,Standard Class,Pennsylvania,Binders,0.7,1,-0.73,2,10
Furniture,Philadelphia,United States,Tracy Blumstein,Howard Miller,17-09-2016,US-2016-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$16.00,East,Consumer,21-09-2016,Standard Class,Pennsylvania,Furnishings,0.2,1,0.13,3,124
Office Supplies,Philadelphia,United States,Tracy Blumstein,Poly,17-09-2016,US-2016-150630,19140,Poly String Tie Envelopes,$1.00,East,Consumer,21-09-2016,Standard Class,Pennsylvania,Envelopes,0.2,1,0.34,2,3
Office Supplies,Philadelphia,United States,Tracy Blumstein,Boston,17-09-2016,US-2016-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$10.00,East,Consumer,21-09-2016,Standard Class,Pennsylvania,Art,0.2,1,0.11,6,86
Office Supplies,Philadelphia,United States,Tracy Blumstein,Acco,17-09-2016,US-2016-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-$6.00,East,Consumer,21-09-2016,Standard Class,Pennsylvania,Binders,0.7,1,-0.83,6,7
Office Supplies,Philadelphia,United States,Tracy Blumstein,Other,17-09-2016,US-2016-150630,19140,Lumber Crayons,$4.00,East,Consumer,21-09-2016,Standard Class,Pennsylvania,Art,0.2,1,0.23,2,16
